Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
P46734	reviewed	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	Homo sapiens (Human)
P48426	reviewed	PI42A_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PI5P4KA PIP5K2 PIP5K2A	Homo sapiens (Human)
P48729	reviewed	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Homo sapiens (Human)
P48730	reviewed	KC1D_HUMAN	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)
P48736	reviewed	PK3CG_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PIK3CG	Homo sapiens (Human)
P49137	reviewed	MAPK2_HUMAN	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	Homo sapiens (Human)
P49336	reviewed	CDK8_HUMAN	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)
P49619	reviewed	DGKG_HUMAN	Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (Diglyceride kinase gamma) (DGK-gamma)	DGKG DAGK3	Homo sapiens (Human)
P49674	reviewed	KC1E_HUMAN	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E	Homo sapiens (Human)
P49759	reviewed	CLK1_HUMAN	Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)	CLK1 CLK	Homo sapiens (Human)
P49760	reviewed	CLK2_HUMAN	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	CLK2	Homo sapiens (Human)
P49761	reviewed	CLK3_HUMAN	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	Homo sapiens (Human)
P49840	reviewed	GSK3A_HUMAN	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)
P49841	reviewed	GSK3B_HUMAN	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)
P49842	reviewed	STK19_HUMAN	Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1)	STK19 G11 RP1	Homo sapiens (Human)
P49903	reviewed	SPS1_HUMAN	Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)	SEPHS1 SELD SPS SPS1	Homo sapiens (Human)
P50053	reviewed	KHK_HUMAN	Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase)	KHK	Homo sapiens (Human)
P50613	reviewed	CDK7_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)
P50750	reviewed	CDK9_HUMAN	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	Homo sapiens (Human)
P51451	reviewed	BLK_HUMAN	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)
P51570	reviewed	GALK1_HUMAN	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)
P51617	reviewed	IRAK1_HUMAN	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	Homo sapiens (Human)
P51812	reviewed	KS6A3_HUMAN	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Homo sapiens (Human)
P51813	reviewed	BMX_HUMAN	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BMX	Homo sapiens (Human)
P51817	reviewed	PRKX_HUMAN	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	PRKX PKX1	Homo sapiens (Human)
P51955	reviewed	NEK2_HUMAN	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	Homo sapiens (Human)
P51956	reviewed	NEK3_HUMAN	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)	NEK3	Homo sapiens (Human)
P51957	reviewed	NEK4_HUMAN	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	NEK4 STK2	Homo sapiens (Human)
P52333	reviewed	JAK3_HUMAN	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	JAK3	Homo sapiens (Human)
P52429	reviewed	DGKE_HUMAN	Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)	DGKE DAGK5	Homo sapiens (Human)
P52564	reviewed	MP2K6_HUMAN	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	MAP2K6 MEK6 MKK6 PRKMK6 SKK3	Homo sapiens (Human)
P52789	reviewed	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)
P52790	reviewed	HXK3_HUMAN	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)	HK3	Homo sapiens (Human)
P52824	reviewed	DGKQ_HUMAN	Diacylglycerol kinase theta (DAG kinase theta) (DGKtheta) (EC 2.7.1.107) (Diglyceride kinase theta) (DGK-theta)	DGKQ DAGK4	Homo sapiens (Human)
P53350	reviewed	PLK1_HUMAN	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	Homo sapiens (Human)
P53355	reviewed	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	DAPK1 DAPK	Homo sapiens (Human)
P53667	reviewed	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)
P53671	reviewed	LIMK2_HUMAN	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2	Homo sapiens (Human)
P53778	reviewed	MK12_HUMAN	Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	Homo sapiens (Human)
P53779	reviewed	MK10_HUMAN	Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)	MAPK10 JNK3 JNK3A PRKM10 SAPK1B	Homo sapiens (Human)
P54646	reviewed	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	Homo sapiens (Human)
P54753	reviewed	EPHB3_HUMAN	Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)	EPHB3 ETK2 HEK2 TYRO6	Homo sapiens (Human)
P54756	reviewed	EPHA5_HUMAN	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	Homo sapiens (Human)
P54760	reviewed	EPHB4_HUMAN	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	EPHB4 HTK MYK1 TYRO11	Homo sapiens (Human)
P54762	reviewed	EPHB1_HUMAN	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	Homo sapiens (Human)
P54764	reviewed	EPHA4_HUMAN	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1	Homo sapiens (Human)
P54819	reviewed	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	AK2 ADK2	Homo sapiens (Human)
P54886	reviewed	P5CS_HUMAN	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)
P55263	reviewed	ADK_HUMAN	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	Homo sapiens (Human)
P57059	reviewed	SIK1_HUMAN	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)	SIK1 SIK SNF1LK	Homo sapiens (Human)
P57078	reviewed	RIPK4_HUMAN	Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)	RIPK4 ANKRD3 DIK	Homo sapiens (Human)
P60891	reviewed	PRPS1_HUMAN	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	Homo sapiens (Human)
P68400	reviewed	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	Homo sapiens (Human)
P78356	reviewed	PI42B_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)	PIP4K2B PIP5K2B	Homo sapiens (Human)
P78362	reviewed	SRPK2_HUMAN	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2	Homo sapiens (Human)
P78368	reviewed	KC1G2_HUMAN	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	Homo sapiens (Human)
P78527	reviewed	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)
P80192	reviewed	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)
Q00526	reviewed	CDK3_HUMAN	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)
Q00532	reviewed	CDKL1_HUMAN	Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)	CDKL1	Homo sapiens (Human)
Q00534	reviewed	CDK6_HUMAN	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)
Q00535	reviewed	CDK5_HUMAN	Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	CDK5 CDKN5 PSSALRE	Homo sapiens (Human)
Q00536	reviewed	CDK16_HUMAN	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	CDK16 PCTAIRE1 PCTK1	Homo sapiens (Human)
Q00537	reviewed	CDK17_HUMAN	Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)	CDK17 PCTAIRE2 PCTK2	Homo sapiens (Human)
Q01415	reviewed	GALK2_HUMAN	N-acetylgalactosamine kinase (EC 2.7.1.157) (GalNAc kinase) (Galactokinase 2)	GALK2 GK2	Homo sapiens (Human)
Q01813	reviewed	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	PFKP PFKF	Homo sapiens (Human)
Q01973	reviewed	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)	ROR1 NTRKR1	Homo sapiens (Human)
Q01974	reviewed	ROR2_HUMAN	Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)	ROR2 NTRKR2	Homo sapiens (Human)
Q02156	reviewed	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	Homo sapiens (Human)
Q02750	reviewed	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Homo sapiens (Human)
Q02763	reviewed	TIE2_HUMAN	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)	TEK TIE2 VMCM VMCM1	Homo sapiens (Human)
Q02779	reviewed	M3K10_HUMAN	Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST)	MAP3K10 MLK2 MST	Homo sapiens (Human)
Q03426	reviewed	KIME_HUMAN	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	Homo sapiens (Human)
Q04759	reviewed	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	Homo sapiens (Human)
Q04771	reviewed	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)
Q04912	reviewed	RON_HUMAN	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	Homo sapiens (Human)
Q05397	reviewed	FAK1_HUMAN	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	Homo sapiens (Human)
Q05513	reviewed	KPCZ_HUMAN	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)
Q05655	reviewed	KPCD_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	Homo sapiens (Human)
Q06187	reviewed	BTK_HUMAN	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)
Q06418	reviewed	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	Homo sapiens (Human)
Q07002	reviewed	CDK18_HUMAN	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)
Q07912	reviewed	ACK1_HUMAN	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)
Q08345	reviewed	DDR1_HUMAN	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)
Q08881	reviewed	ITK_HUMAN	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)
Q09013	reviewed	DMPK_HUMAN	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	DMPK DM1PK MDPK	Homo sapiens (Human)
Q12851	reviewed	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	Homo sapiens (Human)
Q12852	reviewed	M3K12_HUMAN	Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)	MAP3K12 ZPK	Homo sapiens (Human)
Q12866	reviewed	MERTK_HUMAN	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	MERTK MER	Homo sapiens (Human)
Q13043	reviewed	STK4_HUMAN	Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1	Homo sapiens (Human)
Q13057	reviewed	COASY_HUMAN	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)
Q13131	reviewed	AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)
Q13153	reviewed	PAK1_HUMAN	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1	Homo sapiens (Human)
Q13163	reviewed	MP2K5_HUMAN	Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)	MAP2K5 MEK5 MKK5 PRKMK5	Homo sapiens (Human)
Q13164	reviewed	MK07_HUMAN	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7	Homo sapiens (Human)
Q13177	reviewed	PAK2_HUMAN	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]	PAK2	Homo sapiens (Human)
Q13188	reviewed	STK3_HUMAN	Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	STK3 KRS1 MST2	Homo sapiens (Human)
Q13232	reviewed	NDK3_HUMAN	Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)	NME3	Homo sapiens (Human)
Q13233	reviewed	M3K1_HUMAN	Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1)	MAP3K1 MAPKKK1 MEKK MEKK1	Homo sapiens (Human)
Q13237	reviewed	KGP2_HUMAN	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	PRKG2 PRKGR2	Homo sapiens (Human)
Q13315	reviewed	ATM_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)
Q13418	reviewed	ILK_HUMAN	Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK)	ILK ILK1 ILK2	Homo sapiens (Human)
Q13464	reviewed	ROCK1_HUMAN	Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)	ROCK1	Homo sapiens (Human)
Q13470	reviewed	TNK1_HUMAN	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNK1	Homo sapiens (Human)
